id,name,label,pagerank
d70108eb,amazon.com,635655159811,198.13366484924208
aafe6c25,amazon.co.jp,1486058684423,143.4785421614915
14641d80,amazon.de,841813590019,40.35847948450873
528c98f5,amazon.co.uk,171798691848,27.48203728660155
5a76b5f8,rover.ebay.com,1391569403906,17.63411100780968
08776796,amazon.fr,1468878815237,16.025200209640992
56cea5c2,ebay.com,1400159338497,12.32367136255235
d581c716,etsy.com,738734374912,10.652858527131878
7290d9e4,stores.ebay.com,1494648619013,7.739515006956937
a0635895,smile.amazon.com,1314259992578,6.5901506811614725
