id,name,label,pagerank
6291f8ec,nytimes.com,292057776129,38.99750302913367
0629c786,huffingtonpost.com,1511828488192,18.62371302298594
4dc617f0,washingtonpost.com,1563368095745,15.43752742482217
87063c83,cnn.com,1563368095745,12.401099825904048
bf719b86,usatoday.com,1005022347264,11.940640132792
96460f09,foxnews.com,377957122048,7.911116591980557
68117c3d,money.cnn.com,996432412674,3.7305569254168316
fbb3b632,edition.cnn.com,1219770712064,2.7635247397373948
96ea22d1,nytimes.com.co,901943132161,1.6558151006470938
8d2679d3,huffingtonpost.ca,687194767363,1.6558151006470938
