id,name,label,pagerank
d70108eb,amazon.com,292057776129,195.69124552772726
aafe6c25,amazon.co.jp,1571958030339,140.9506372987472
14641d80,amazon.de,747324309508,40.125596302921984
528c98f5,amazon.co.uk,1494648619015,27.398721675611267
5a76b5f8,rover.ebay.com,730144440320,16.51712507453789
08776796,amazon.fr,738734374914,15.558847644603476
56cea5c2,ebay.com,1047972020227,12.557300983899832
d581c716,etsy.com,1434519076867,10.498192456768047
7290d9e4,stores.ebay.com,515396075520,8.161896243291599
a0635895,smile.amazon.com,326417514498,6.4987701252236185
